"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IL18BP",1080.73378946715,-1.31592148878021,0.403839545010984,-3.25852558283865,0.00111992778231172,0.0310266068678732
"FAM83D",746.918401029712,1.09430733677484,0.336603804585728,3.25102486028538,0.00114989802264138,0.0311589632924223
"NPTXR",31.5455189941009,1.91340658945162,0.588860372669225,3.24933834616583,0.00115673802844677,0.0311589632924223
"ANGPTL1",391.299874845769,1.03265077237103,0.317561110615724,3.2518174859913,0.00114669629616562,0.0311589632924223
"GPR158",7.11084041905161,2.03884399104705,0.628137554841628,3.24585590422325,0.00117098093450105,0.0312646462053598
"THEM5",35.8340072418954,-1.70647092978776,0.527167677686245,-3.23705530900057,0.00120770002289328,0.0319420237172787
"CPA4",22.7667856144896,-2.22014058424234,0.686156905007832,-3.23561647203274,0.00121380353811748,0.0320550318987918
"CYBB",1027.50631813141,-1.14758896842044,0.355147588341907,-3.23130159429842,0.00123227841108353,0.0322029294024799
"WSCD2",272.913418559283,1.52613918877297,0.472853612953987,3.22750878276884,0.00124873207552217,0.0324176263461103
"CXCL11",932.489321117098,-2.23674957168747,0.693804482993715,-3.22389034160757,0.00126461816005132,0.0325305030212594
"FANK1",101.759934961467,1.37293197753833,0.426109339617876,3.22201803595654,0.00127291122059363,0.0325839218733536
"RIMS1",185.461459541743,1.06864927887624,0.333615112989515,3.20324001302013,0.00135890676065349,0.034028010004523
"HAND1",49.8853113372478,2.05840107242074,0.644860560695198,3.19200955661122,0.0014128665798547,0.034891228415622
