"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLB",70.6439721711273,-4.4239472980598,0.921673202873281,-4.79990877923793,1.58737916763883e-06,0.00710998959590357
"MC5R",95.430315265676,-5.03528705326343,1.05315156229342,-4.78116088276809,1.74285809435067e-06,0.00710998959590357
"LOC100328910",134.335972885615,-4.2434643213888,0.956147691200799,-4.43808457672428,9.07629568080699e-06,0.0185133741149261
"ADIPOQ",441.589989813475,-5.55296379956594,1.14461898241814,-4.85136441458855,1.22615018873262e-06,0.00710998959590357
"LPL",4399.10912086947,-1.91790760858256,0.41217712220809,-4.65311514212157,3.2695755098767e-06,0.0106705866340336
"LOC100346046",1467.72821017976,-4.11876963583985,0.748324393816468,-5.50398953966214,3.71291587822231e-08,0.000605873613008316
"LOC100342572",52.3007007122636,-3.10100936090413,0.705578024353915,-4.39499141678012,1.1077713075408e-05,0.020085124662723
"PFKFB1",17.4435844233423,-3.31499327372984,0.719465966804988,-4.60757482171269,4.07392628565804e-06,0.0110797215215613
"CYP2A11_1",59.681693761649,-2.87978554230321,0.639403022021115,-4.50386601739913,6.67282852879096e-06,0.0155553165618301
