"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC100357282",257.099813035586,3.10737634568446,0.874015222854789,3.55528858586108,0.000377564440956,0.0347743249517781
"LOC108175942",14.6055005899962,2.66727484793417,0.708035367998344,3.76714916865623,0.000165122347147526,0.0232379596651821
"TPM2",28800.6682117812,3.0072208218228,0.870564550695348,3.45433410930968,0.000551653485525483,0.0430289718709876
"DDX58",9038.78486829572,4.23316880930221,1.02320419971314,4.13716911100344,3.51616969095105e-05,0.00971535564438712
"PRUNE2",4949.15128309573,3.85868691275683,0.927672610070957,4.15953523998265,3.18895818838584e-05,0.00971535564438712
"DIRAS2",88.858773027358,2.96118788179298,0.868808564902142,3.4083318252353,0.000653613602802588,0.0484327679676717
"GRAMD1B",3592.5348660712,-1.37102664762154,0.381489640484307,-3.59387648346362,0.000325794327360488,0.0329881933206874
"CLMP",1163.0683788645,2.94601014951373,0.834087436950792,3.53201597219061,0.000412404445380428,0.0367258673688007
"TBCEL",469.023299606546,1.38691389843376,0.381979472630685,3.63085976553166,0.000282478646676975,0.0309058181082419
"DIXDC1",1033.09272905551,3.02570137413296,0.797809740429832,3.79250994416641,0.000149132276614811,0.0218772627174207
"CCDC82",1186.73330163247,1.50452253664789,0.44094424898091,3.41204707879754,0.000644769765028743,0.0482157647224705
"FAT3",197.795265764408,3.84418942196383,1.05492491213168,3.64404080115607,0.000268390845108884,0.030070652228181
"PDE3B",214.080385859501,1.67121419578103,0.473592170698154,3.52880452672471,0.000417441349969422,0.0367258673688007
"SMTNL1",1644.21110243372,3.5770113538758,0.960994866349891,3.72219611064336,0.000197497532992742,0.0257568382627815
"LOC103352076",131.318479767571,3.39950726876076,0.997038552876491,3.40960463259226,0.000650571170093776,0.0484274484697203
"GABRA2",82.4585923627251,5.93845508576342,1.55525197121468,3.81832345862604,0.000134361684073987,0.020858493847863
"GABRA4",170.228565534716,3.875951777314,1.09440687781692,3.54160034615792,0.000397707553132026,0.0362202711237893
"SORBS2",5639.87284682988,2.68275668874101,0.78370986212911,3.4231503498664,0.000618998295295871,0.0471537860276322
"MTMR7",69.5160390301122,1.49622425314634,0.441444836021524,3.38937989768077,0.00070050887667197,0.0488021184081473
"LOC103347744",24.8544001338595,-4.64937858880276,1.20038314591769,-3.87324547550885,0.000107395558429806,0.0182371082658614
"SIX2",303.486245201061,7.03221899889379,1.77829026946906,3.95448320199907,7.67002601097975e-05,0.015446883024089
"TMEM178A",100.754526316061,3.00866752244753,0.843413925532296,3.56724904743386,0.000360748587355776,0.0345186483377498
"LOC108176480",2227.09018633465,3.70786629481989,0.956837238800165,3.87512749761851,0.000106568886765848,0.0182371082658614
"LOC100343036",208.587173792603,5.25264781492454,1.17085338975774,4.48617039577548,7.25147555712458e-06,0.00454667517431711
"GRIA1",293.520047629348,3.04386181926947,0.895121705157974,3.40050051487946,0.00067262609229746,0.0487185529934014
"PLAG1",130.389940272401,2.14792753715759,0.592095055061916,3.62767349396793,0.000285986598653087,0.0310810235416175
"JPH1",138.936673547786,3.23787254513734,0.862682367000816,3.75326153517437,0.000174548576242599,0.023556743623347
"TRPS1",258.49712576088,4.30485121719636,0.92280598535162,4.66495805784795,3.08679993203386e-06,0.00264847434168505
"FAM83D",2056.57068026547,3.42288694789046,0.937412576412134,3.65141991266137,0.00026079442797313,0.0300000605524795
"ITGA7",2499.16702958821,3.2330396963563,0.953324919624422,3.39133031121226,0.000695542189066369,0.0487185529934014
"MSRB3",2086.22778319093,2.95531928472098,0.87088990484356,3.39344763130748,0.000690187537653983,0.0487185529934014
"LOC103348318",2586.85727380077,3.0035509555262,0.864085862173993,3.47598668952809,0.000508977546750852,0.0404748876445482
"APOBEC3A",59.8535511311308,4.04964236115036,1.11157415606285,3.64315987292653,0.00026931144800113,0.030070652228181
"NPTXR",107.313474759339,3.82459188972645,1.10141874568222,3.47242309495785,0.0005157827650406,0.0408169448334556
"MT3",160.376028727186,4.06356695060595,1.19066987876959,3.41284097553986,0.000642894452714853,0.0482157647224705
