"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TXN",3001.04804921786,1.14599478870536,0.309307151050111,3.70503813059173,0.000211358934876039,0.0225427618184448
"LOC100357282",461.740555824959,-1.03117466988429,0.267759374625149,-3.85112443337564,0.000117576735454408,0.01653986001925
"MELK",419.838285756967,1.05922730177692,0.309303749705167,3.42455370420369,0.000615810119887624,0.0331041925876733
"PDCD1LG2",144.766821359439,4.03698877225995,1.19032904936275,3.39148975186415,0.000695137627187525,0.0355891549810429
"CKS2",1795.94464421447,1.07029077187267,0.284372369034897,3.76369467787967,0.000167421278551184,0.0206072406151595
"SPA17",24.4577393397627,1.41956199555054,0.441907541577341,3.21235068875169,0.00131653562226431,0.0469461989566991
"NAV2",276.165005557028,-1.5302061599085,0.469921181123685,-3.25630386834115,0.00112872882102129,0.0439008429302646
"FAM180B",50.6507599334648,-2.50136953964137,0.641335711405139,-3.9002498927761,9.60934512668024e-05,0.0160319489212437
"LOC108178874",26.4917739080769,-1.84804718343606,0.442890551546179,-4.1726949852155,3.01017798551497e-05,0.00947476392772549
"KLB",70.6439721711273,-4.08705538777607,0.922271665861447,-4.43150921692748,9.35758123891251e-06,0.00521667825215226
"LRRC66",86.3449679520005,3.71045734502383,1.12205559117141,3.30683913900396,0.000943550584238789,0.0400065447717247
"NEFM",2867.14828524377,4.32414676002031,1.1440953751,3.77953346734082,0.000157122474633581,0.0200424363405479
"MSR1",268.516224817881,4.81608751861477,1.21080021254697,3.97760709711465,6.96122722164265e-05,0.0141595124513737
"TPCN3",332.478047992004,-1.12017746383327,0.350433781486205,-3.19654531901162,0.00139083975934448,0.0479586559763512
"LOC103347497",138.499680657842,1.45566448865537,0.432633188759144,3.36466208898682,0.00076637454602517,0.0369726591883682
"LOC100356529",48.9558590571435,2.45218841607256,0.625247000386832,3.9219515080527,8.78346718768549e-05,0.0159287648324147
"LOC100357294",1344.08686297366,2.86382539475472,0.612917474611216,4.6724485977028,2.9763001758371e-06,0.00298661801644667
"LOC103347627",6517.7161993278,1.61466750929676,0.352187756078313,4.58467814803228,4.54686275567048e-06,0.0034219689099176
"LOC103347741",41.1998956023815,3.13570099740129,0.911741996742064,3.43924159313283,0.000583346393930481,0.0325204811905244
"LOC103347742",41.0169247584395,3.38427625703815,1.05382927419292,3.21140846996303,0.00132086040231236,0.0469461989566991
"LOC103347626",250.782105983507,1.82339251867254,0.530880826849844,3.43465506089614,0.000593308522264809,0.0326167631550417
"LOC103347758",153.196540113529,2.06739415029665,0.596894597299367,3.46358328530786,0.000533031556995233,0.0312186420073628
"LOC103347764",135.779095974467,3.36652208405409,0.930647473495904,3.6173977579373,0.0002975798189639,0.0246108320606847
"LOC108176411",266.633011088953,2.09959718318849,0.641578439900672,3.27254946957623,0.00106582219175203,0.0425018286937534
"LOC103347766",466.199407949034,2.34557898107701,0.721710044027747,3.25002956587207,0.00115393010939525,0.0444218823698654
"LOC103347768",217.906609270536,4.34767310685661,1.08110016290776,4.02152664112358,5.78221667380382e-05,0.0135990508397024
"LOC103347773",183.20490276267,2.21464897748741,0.635099513260584,3.48708970995342,0.000488307531470466,0.0302122919782315
"LOC103347775",279.875055755917,2.33765711784568,0.650612876188527,3.59300776759958,0.000326882839735055,0.0252320025830361
"LOC103347776",951.491691814874,2.41493666055076,0.682582810989217,3.53793945829221,0.000403262509612736,0.028245193952164
"LOC103347777",1196.65785188446,2.36379057482663,0.633762371562486,3.72977425118962,0.000191651403437479,0.0218578750524399
"MZB1",2407.64590472627,2.90334265640187,0.807139610222181,3.59707616827611,0.000321814269654094,0.0250974467331518
"EYA1",53.6949788304856,-1.34244398542761,0.390912087508225,-3.43413270739386,0.000594453084985183,0.0326167631550417
"PI15",31.5404406240475,-2.85063521415557,0.781174056893529,-3.6491677994167,0.000263091218920737,0.0231359235737738
"SNX31",27.8318713004088,1.84945069674453,0.513915618119173,3.59874390179685,0.000319757878597886,0.0250974467331518
"DCSTAMP",170.222791968625,4.36151693495864,1.2290924033679,3.54856715655178,0.000387333213453026,0.0277625691852141
"LOC100352749",226.997666147066,8.02227854805538,2.35501292118881,3.40646901589216,0.000658090196380695,0.0345141938533875
"GPD1",288.112732276364,-1.93675937418529,0.486604931558664,-3.98014744318676,6.88725377086872e-05,0.0141595124513737
"LOC100347647",20.9934974852566,-3.07430331808676,0.620369346466995,-4.95560158733652,7.21068357485102e-07,0.00114136612498536
"LOC108176663",113.796250956967,3.39016408024292,0.960766140370861,3.52860486833382,0.0004177563880067,0.028245193952164
"TMTC2",178.217805524578,-1.13569721806568,0.351233262044468,-3.23345577083157,0.00122302272281214,0.0456646756681833
"LOC100348058",365.188611070467,-1.13734354636242,0.285560483038818,-3.98284641579001,6.80947637061655e-05,0.0141595124513737
"LOC100343299",316.589904723004,4.96384047771656,1.29605632562354,3.82995737112615,0.000128165459756676,0.0172245223237276
"CX3CL1",936.634773769265,4.38400548972852,1.13272795868296,3.87030747861637,0.000108698169068123,0.0163612484081339
"GINS3",114.36031722843,1.51751142882436,0.419278837492973,3.6193370452421,0.000295358735704098,0.0245620977338015
"PRM3",26.748569547032,5.57181069552936,1.63873212124678,3.40007413248861,0.000673675859429223,0.0349661001245816
"TNFRSF17",267.237185360425,1.74342368344722,0.466436588951429,3.73775069268583,0.000185673920785562,0.0217355873796903
"KEL",3434.04777026853,-1.40927898245714,0.402213087278196,-3.50381185255267,0.000458649282742241,0.0295590816040243
"LEP",28.7917766952024,-4.93584147435445,1.33845003330697,-3.68772935225624,0.000226264123830934,0.0225544873635975
"CDCA7",740.307305251968,1.02904884620881,0.281065912980188,3.6612367373106,0.000251000692970463,0.0230432227850023
"SATB2",218.416897479479,-1.01484827838038,0.31473430714186,-3.22446029985208,0.00126210354777285,0.0459894258650321
"NBEAL1",341.233995354654,-1.1270394136269,0.347594516021993,-3.24239699327015,0.00118528786761055,0.0450529115739241
"SLC11A1",1753.37925476852,5.21954637661455,1.41255866727561,3.69510059832165,0.000219799744411117,0.0225427618184448
"KCNE4",175.349199706069,-1.38405406054091,0.393205025862277,-3.51992973005814,0.000431661144909768,0.0287493962530169
"LOC108176894",72.1655440729766,3.39692109355571,1.00887905432666,3.36702509481959,0.00075983773619153,0.0368691699306187
"ABCD2",47.9338064194458,-2.12718229564552,0.553801501093538,-3.84105548909705,0.000122506415354082,0.016917124439538
"VWF",85.5440048187045,-2.38148353680615,0.583092745949802,-4.08422768650114,4.42236530848152e-05,0.0120756085711969
"CD163",2152.73138492662,4.20240704368577,1.15483086023847,3.63898055410295,0.000273719465182045,0.0238151756642783
"CLEC4E",665.960236914722,3.10945533171395,0.832520888056323,3.73498776586082,0.000187724313005564,0.0217355873796903
"MFAP5",500.457892768409,-2.56570785855835,0.675542270209297,-3.79799750763701,0.00014586979000866,0.0190742268150127
"ITGBL1",79.7259199627917,-2.55682425902237,0.704813042091858,-3.62766309124163,0.000285998118175786,0.0241304129187111
"LOC108177077",32.2098054508298,-2.33756724049527,0.582244601139446,-4.01475125045501,5.95085221344473e-05,0.0136064623245729
"CCR1",444.074472842323,3.08142749230053,0.913684526126589,3.3725289245772,0.000744812628941214,0.0365617321811652
"MC5R",95.430315265676,-4.89949368061341,1.05599133350179,-4.63971012372433,3.48898226185717e-06,0.00308918594149848
"CIDEA",313.729998092636,-4.1854080669027,1.12004289089604,-3.73682838480797,0.000186356021232217,0.0217355873796903
