"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","negLogPadj"
"RPL34",5141.97170733529,2.76157179428076,0.412622226287983,6.69273640231238,2.19035490590331e-11,4.09158296422738e-07,6.38810863829435
"LOC100345044",907.12696124264,-6.0487360055605,0.936948300439198,-6.45578416944151,1.07659954360698e-10,1.00554397372892e-06,5.99759893239669
"LOC103345903",4.04737966306354,5.1047142758696,0.834549680043628,6.11672905512676,9.5515559854806e-10,5.94743552695926e-06,5.22567025722472
"LOC100344475",24.0264743350464,2.53280110499109,0.427433197539008,5.92560690085365,3.11146092465744e-09,1.45305225181502e-05,4.83771876817485
"LOC100352749",174.564940497658,6.20353122889139,1.07407911277802,5.775674394083,7.66454668104265e-09,2.86347464003753e-05,4.54310665880193
"LOC100357840",303.408657807147,5.99148795159606,1.06391822567883,5.63153051332794,1.78617365746916e-08,5.56095398692065e-05,4.25485069839714
"LOC100342837",34.4795870217013,-7.45304585702613,1.46055117765844,-5.10289948824312,3.34488675751916e-07,0.000704717931502629,3.15198467776686
"RSAD2",2517.09176563061,4.15256188321786,0.814217027779717,5.10006760057752,3.39532193978783e-07,0.000704717931502629,3.15198467776686
"USP18",1725.25088754128,3.58760725634068,0.701541732417127,5.11389000905158,3.15591164943867e-07,0.000704717931502629,3.15198467776686
"ISG15",4276.84754892363,4.33035498363356,0.865655198947158,5.00240163624073,5.66204736447314e-07,0.00105767044768358,2.97564963007732
"ZNF157",239.850402740551,4.25664052283552,0.862447950705548,4.93553323345863,7.99320675766551e-07,0.00135739183848356,2.86729476639563
"LOC100358934",1513.6201527668,-4.3416622889676,0.88899129316535,-4.88380743697571,1.04056700309588e-06,0.00161981596815259,2.79053432407209
"SLC34A2",647.511377428628,-6.65680406533016,1.37672478782031,-4.83524675681149,1.32980572009563e-06,0.00191082852702972,2.71877828369645
"LOC100341035",23.540913807456,7.13315590893154,1.48233749032591,4.81209977854854,1.49352751291174e-06,0.00199279242437081,2.70053793644516
"LOC100348543",719.285229061317,1.29682348320341,0.270905127453605,4.7870023553744,1.69290848026925e-06,0.00210823536076197,2.67608090665952
"LOC100356242",6049.93123141365,3.99933635470332,0.844168681741171,4.73760332645171,2.16260598273751e-06,0.00252484248484604,2.59776571065264
"LOC100345779",2611.29077415793,3.06016761741283,0.653703658647011,4.68127656459281,2.85094013552703e-06,0.00313268010186147,2.50408395146034
"LOC100356326",22.6071019553274,-1.86465262096005,0.407722226011292,-4.57334062751931,4.80008822666426e-06,0.00498142489300491,2.30264641333337
"LGALS4",898.060757577753,-4.29984640757807,0.949101766999242,-4.5304376802214,5.88616162490385e-06,0.00578702627122126,2.23754454607597
"KCNJ16",773.973302913141,-7.02647434684825,1.62042822008919,-4.33618364561776,1.44977831772842e-05,0.0135409294875835,1.86835152342978
"LOC108177586",129.366538514984,3.29187910121653,0.784413673293898,4.19661106542588,2.70938624035364e-05,0.0220049282477417,1.65748004321831
"ETV7",308.417717780456,2.92932568683138,0.696711808561624,4.20450127417682,2.61658464675783e-05,0.0220049282477417,1.65748004321831
"LOC100342826",3775.74350103683,2.98517610487122,0.713139853347408,4.18596168880353,2.83961244907232e-05,0.0221016502286129,1.6555752983319
"LOC100347051",97.8519115859382,1.05055305701612,0.253683463963884,4.14119643669672,3.45498906602048e-05,0.025815678301305,1.58811645947425
"LOC108175893",13.833414520214,2.46653160689858,0.603788796899142,4.08509005063669,4.40597257927341e-05,0.0316552183772413,1.49955468610069
"LOC100351756",86.5376481070307,2.99385540896021,0.741882080784201,4.03548688734411,5.44891829147201e-05,0.0376984421054434,1.423676596717
"KLK6",37.5198193516035,-4.01921125557863,1.00684506115399,-3.99188654803753,6.55497329562889e-05,0.0408156337207826,1.3891734560725
"IRF7",7870.40205452475,3.27308809913187,0.818891784517686,3.99697269042658,6.41576993310636e-05,0.0408156337207826,1.3891734560725
"IFIT3",6204.18983837182,2.51720806829055,0.62832153196613,4.00624193223772,6.16924604289307e-05,0.0408156337207826,1.3891734560725
"LOC108178280",7.24512866688007,4.36712034929022,1.10797356727192,3.94153838890132,8.09606740425727e-05,0.0487853351972664,1.31171070668668
"LOC100353264",189.592359552833,-5.97002387514895,1.51767442109922,-3.93366574026133,8.36601048230351e-05,0.0488365861904467,1.31125470202586
