"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","negLogPadj"
"LOC103350333",14.2096665678458,1.68018905772196,0.313926030821484,5.35218138274557,8.690022618513e-08,0.000218144396360729,3.66125593858306
"ADGRE2",56.7369402543184,-1.58627485369692,0.295443004713998,-5.3691399978568,7.91129900325292e-08,0.000218144396360729,3.66125593858306
"LOC108175497",10.5715429296155,-2.21686573373146,0.435558410231801,-5.08970939753328,3.58612660917526e-07,0.000787692709705346,3.10364317401703
"LOC103347220",45.4375319988759,5.62949318701411,1.13352157207352,4.96637499074342,6.82159908044966e-07,0.00119869139041661,2.92129261397429
"DHRS3",68.7448354640701,4.29249959426648,0.862600853453414,4.9762292456372,6.48348572845754e-07,0.00119869139041661,2.92129261397429
"LOC103351810",76.1343430435177,-1.27814599147248,0.277338557772991,-4.60861267086664,4.05364686570109e-06,0.00508790590886425,2.29346092873521
"LOC103347141",63.5254993193581,3.81269716943071,0.833350452596503,4.57514261563229,4.75895693207593e-06,0.00522652445065239,2.28178701355311
"LOC100357553",170.412372469117,2.47105283905424,0.547807601443947,4.51080421765028,6.45823076090242e-06,0.00667553123121043,2.17551416792545
"LOC103349505",10.637331567823,-1.88683387451268,0.424569125547606,-4.44411465878272,8.82545317279311e-06,0.00861560350846225,2.06471429555607
"LOC108178464",43.9318839106839,-1.56189604058776,0.361009096435988,-4.32647281192457,1.51516011692579e-05,0.0126782826545809,1.89693957012546
"LOC108176303",8.92269046769042,5.09874507604541,1.2055258551714,4.22947799433176,2.34234188291886e-05,0.013897293374019,1.85706977436373
"LOC108175500",7.83865050682698,-2.02792097725158,0.479801135772595,-4.2265864460411,2.37263146608565e-05,0.013897293374019,1.85706977436373
"LOC103351777",25.0709126432788,1.35969936820124,0.318754130689306,4.26566822917992,1.99304768303379e-05,0.013897293374019,1.85706977436373
"PLCD4",83.4604781741014,-1.14921979955408,0.269968872858098,-4.25686038315292,2.07317731712448e-05,0.013897293374019,1.85706977436373
"LOC103350727",31.767219714104,-1.11179270980475,0.262689822687678,-4.23234024991751,2.31272176286658e-05,0.013897293374019,1.85706977436373
"LOC100344421",51.3399756749069,-2.06113492720799,0.495508961493808,-4.15963198928693,3.1876077435353e-05,0.0164743068439419,1.78319284927927
"TMOD1",154.498733291039,-1.45497730372509,0.353186168315892,-4.11957611664946,3.79570023249107e-05,0.0181523178818707,1.74106791172793
"LOC108175435",38.0110357858764,-1.11969182016715,0.272932290313373,-4.10245273243981,4.08793386292929e-05,0.0181523178818707,1.74106791172793
"NLGN3",42.4112566355514,-1.08795315781139,0.264882396305465,-4.10730638572428,4.0030008171824e-05,0.0181523178818707,1.74106791172793
"EPHB1",25.7757794517397,-1.13272103255639,0.278516135517319,-4.06698531290642,4.76252433812066e-05,0.0199254946832039,1.70059088772262
"FANK1",76.4147824605293,-1.94633455692413,0.489902193047032,-3.97290435631357,7.10015638600198e-05,0.027148623596174,1.56625218374509
"LOC103351327",120.639320835353,-1.44895237721715,0.37702571042047,-3.84311291556546,0.000121483540896831,0.0402775241630022,1.3949372331381
"LOC108177386",6.35786258033201,2.55510219576803,0.669725268244111,3.81514975904524,0.000136100367921162,0.0434828302747393,1.36168219566446
"CNTN2",79.860403932079,-1.08939765215176,0.286775241166536,-3.79878558455862,0.000145406816050588,0.0456265816364452,1.34078206754205
"PGC",1201.74058764684,-5.39341159608584,1.43472690559869,-3.7591903901985,0.000170464083693662,0.0466533949935045,1.33111674691649
"LOC108175467",13.8533029485876,-2.68294299081895,0.714287418464499,-3.75611122562743,0.000172574019723298,0.0466533949935045,1.33111674691649
"PDZRN4",99.6565436451743,-2.54043645765919,0.675753063154604,-3.7594153784516,0.000170310870088734,0.0466533949935045,1.33111674691649
