"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL34",5141.97170733529,2.7326551473515,0.402258870557502,6.79327504590322,1.09616107393125e-11,9.99260434995726e-08
"CHGA",1526.90053806312,3.95664679347517,0.927733266687748,4.26485384921189,2.00033095706355e-05,0.0253416801071683
"FAM212B",148.738775775601,1.29071969005455,0.308060541093088,4.18982478403338,2.79169938270708e-05,0.0299401547914797
"KLK6",37.5198193516035,-2.91823898358394,0.702725859090973,-4.15274170692806,3.28515469459836e-05,0.0332749668843985
"C13H1orf189",11.5322156633227,-1.20721034030045,0.294565160128034,-4.09827944274106,4.16232592047582e-05,0.036169004892487
"PCDH20",50.6522868416113,2.99758089093755,0.739392720007201,4.05411198923944,5.03251047676318e-05,0.0408513848638693
